query,plan_id,plan_content
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'hardcore'
AND n.name LIKE '%r%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[de]'
AND k.keyword = 'showdown'
AND n.name LIKE '%e%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[nl]'
AND k.keyword = 'explosion'
AND n.name LIKE '%e%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[br]'
AND k.keyword = 'hostage'
AND n.name LIKE '%e%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[br]'
AND k.keyword = 'knife-in-the-chest'
AND n.name LIKE '%H%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'anal-sex'
AND n.name LIKE '%k%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[de]'
AND k.keyword = 'sex-slave'
AND n.name LIKE '%d%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'firework'
AND n.name LIKE '%u%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[br]'
AND k.keyword = 'sex-slave'
AND n.name LIKE '%y%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[de]'
AND k.keyword = 'pistol'
AND n.name LIKE '%,%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[de]'
AND k.keyword = 'friendly-fire'
AND n.name LIKE '%J%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'gun'
AND n.name LIKE '%w%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[br]'
AND k.keyword = 'knife-throwing'
AND n.name LIKE '%o%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'hardcore'
AND n.name LIKE '%B%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[de]'
AND k.keyword = 'pistol'
AND n.name LIKE '%y%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'gay-sex'
AND n.name LIKE '%o%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[br]'
AND k.keyword = 'gash-in-the-face'
AND n.name LIKE '%a%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[br]'
AND k.keyword = 'exploding-motorcycle'
AND n.name LIKE '%r%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[br]'
AND k.keyword = 'self-surgery'
AND n.name LIKE '%y%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'dissection'
AND n.name LIKE '%l%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[de]'
AND k.keyword = 'exploding-motorcycle'
AND n.name LIKE '%r%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[fr]'
AND k.keyword = 'blow-job'
AND n.name LIKE '%,%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM cat_cast_info_4 AS ci,
   cat_company_name_4 AS cn,
   cat_keyword_4 AS k,
   cat_movie_companies_4 AS mc,
   cat_movie_keyword_4 AS mk,
   cat_name_4 AS n,
   cat_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[de]'
AND k.keyword = 'self-surgery'
AND n.name LIKE '%n%';",31,/*+  SeqScan(k) IndexScan(mk keyword_id_movie_keyword_cat_4) IndexOnlyScan(t cat_title_4_pkey) IndexScan(mc movie_id_movie_companies_cat_4) IndexScan(cn cat_company_name_4_pkey) IndexScan(ci movie_id_cast_info_cat_4) IndexScan(n cat_name_4_pkey) NestLoop(k mk) NestLoop(k mk t) NestLoop(k mk t mc) NestLoop(k mk t mc cn) NestLoop(k mk t mc cn ci) NestLoop(k mk t mc cn ci n) Leading(((((((k mk) t) mc) cn) ci) n)) */
